sample_index,file_name,mapped_label,raw_label,repetition,official_split
43,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_03_04.npy,2,3,4,train
44,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_03_05.npy,2,3,5,train
45,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_03_06.npy,2,3,6,train
46,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_03_07.npy,2,3,7,train
47,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_03_08.npy,2,3,8,train
48,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_03_09.npy,2,3,9,train
49,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_03_10.npy,2,3,10,train
50,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_03_11.npy,2,3,11,train
51,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_03_12.npy,2,3,12,train
52,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_03_13.npy,2,3,13,validation
53,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_03_14.npy,2,3,14,validation
54,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_03_15.npy,2,3,15,validation
55,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_03_16.npy,2,3,16,validation
56,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_03_17.npy,2,3,17,test
57,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_03_18.npy,2,3,18,test
58,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_03_19.npy,2,3,19,test
59,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_03_20.npy,2,3,20,test
60,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_04_01.npy,3,4,1,train
61,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_04_02.npy,3,4,2,train
62,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_04_03.npy,3,4,3,train
63,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_04_04.npy,3,4,4,train
64,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_04_05.npy,3,4,5,train
65,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_04_06.npy,3,4,6,train
66,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_04_07.npy,3,4,7,train
67,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_04_08.npy,3,4,8,train
68,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_04_09.npy,3,4,9,train
69,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_04_10.npy,3,4,10,train
70,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_04_11.npy,3,4,11,train
71,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_04_12.npy,3,4,12,train
72,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_04_13.npy,3,4,13,validation
73,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_04_14.npy,3,4,14,validation
74,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_04_15.npy,3,4,15,validation
75,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_04_16.npy,3,4,16,validation
76,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_04_17.npy,3,4,17,test
77,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_04_18.npy,3,4,18,test
78,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_04_19.npy,3,4,19,test
79,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_04_20.npy,3,4,20,test
80,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_05_01.npy,4,5,1,train
81,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_05_02.npy,4,5,2,train
82,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_05_03.npy,4,5,3,train
83,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_05_04.npy,4,5,4,train
84,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_05_05.npy,4,5,5,train
85,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_05_06.npy,4,5,6,train
86,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_05_07.npy,4,5,7,train
87,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_05_08.npy,4,5,8,train
88,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_05_09.npy,4,5,9,train
89,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_05_10.npy,4,5,10,train
90,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_05_11.npy,4,5,11,train
91,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_05_12.npy,4,5,12,train
92,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_05_13.npy,4,5,13,validation
93,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_05_14.npy,4,5,14,validation
94,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_05_15.npy,4,5,15,validation
95,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_05_16.npy,4,5,16,validation
96,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_05_17.npy,4,5,17,test
97,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_05_18.npy,4,5,18,test
98,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_05_19.npy,4,5,19,test
99,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_05_20.npy,4,5,20,test
100,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_06_01.npy,5,6,1,train
101,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_06_02.npy,5,6,2,train
102,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_06_03.npy,5,6,3,train
103,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_06_04.npy,5,6,4,train
104,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_06_05.npy,5,6,5,train
105,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_06_06.npy,5,6,6,train
106,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_06_07.npy,5,6,7,train
107,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_06_08.npy,5,6,8,train
108,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_06_09.npy,5,6,9,train
109,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_06_10.npy,5,6,10,train
110,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_06_11.npy,5,6,11,train
111,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_06_12.npy,5,6,12,train
112,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_06_13.npy,5,6,13,validation
113,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_06_14.npy,5,6,14,validation
114,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_06_15.npy,5,6,15,validation
115,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_06_16.npy,5,6,16,validation
116,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_06_17.npy,5,6,17,test
117,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_06_18.npy,5,6,18,test
118,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_06_19.npy,5,6,19,test
119,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_06_20.npy,5,6,20,test
120,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_07_01.npy,6,7,1,train
121,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_07_02.npy,6,7,2,train
122,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_07_03.npy,6,7,3,train
123,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_07_04.npy,6,7,4,train
124,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_07_05.npy,6,7,5,train
125,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_07_06.npy,6,7,6,train
126,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_07_07.npy,6,7,7,train
127,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_07_08.npy,6,7,8,train
128,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_07_09.npy,6,7,9,train
129,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_07_10.npy,6,7,10,train
130,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_07_11.npy,6,7,11,train
131,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_07_12.npy,6,7,12,train
132,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_07_13.npy,6,7,13,validation
133,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_07_14.npy,6,7,14,validation
134,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_07_15.npy,6,7,15,validation
135,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_07_16.npy,6,7,16,validation
136,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_07_17.npy,6,7,17,test
137,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_07_18.npy,6,7,18,test
138,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_07_19.npy,6,7,19,test
139,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_07_20.npy,6,7,20,test
140,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_08_01.npy,7,8,1,train
141,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_08_02.npy,7,8,2,train
142,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_08_03.npy,7,8,3,train
143,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_08_04.npy,7,8,4,train
144,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_08_05.npy,7,8,5,train
145,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_08_06.npy,7,8,6,train
146,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_08_07.npy,7,8,7,train
147,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_08_08.npy,7,8,8,train
148,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_08_09.npy,7,8,9,train
149,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_08_10.npy,7,8,10,train
150,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_08_11.npy,7,8,11,train
151,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_08_12.npy,7,8,12,train
152,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_08_13.npy,7,8,13,validation
153,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_08_14.npy,7,8,14,validation
154,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_08_15.npy,7,8,15,validation
155,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_08_16.npy,7,8,16,validation
156,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_08_17.npy,7,8,17,test
157,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_08_18.npy,7,8,18,test
158,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_08_19.npy,7,8,19,test
159,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_08_20.npy,7,8,20,test
160,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_09_01.npy,8,9,1,train
161,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_09_02.npy,8,9,2,train
162,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_09_03.npy,8,9,3,train
163,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_09_04.npy,8,9,4,train
164,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_09_05.npy,8,9,5,train
165,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_09_06.npy,8,9,6,train
166,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_09_07.npy,8,9,7,train
167,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_09_08.npy,8,9,8,train
168,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_09_09.npy,8,9,9,train
169,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_09_10.npy,8,9,10,train
170,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_09_11.npy,8,9,11,train
171,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_09_12.npy,8,9,12,train
172,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_09_13.npy,8,9,13,validation
173,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_09_14.npy,8,9,14,validation
174,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_09_15.npy,8,9,15,validation
175,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_09_16.npy,8,9,16,validation
176,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_09_17.npy,8,9,17,test
177,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_09_18.npy,8,9,18,test
178,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_09_19.npy,8,9,19,test
179,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_09_20.npy,8,9,20,test
180,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_10_01.npy,9,10,1,train
181,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_10_02.npy,9,10,2,train
182,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_10_03.npy,9,10,3,train
183,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_10_04.npy,9,10,4,train
184,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_10_05.npy,9,10,5,train
185,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_10_06.npy,9,10,6,train
186,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_10_07.npy,9,10,7,train
187,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_10_08.npy,9,10,8,train
188,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_10_09.npy,9,10,9,train
189,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_10_10.npy,9,10,10,train
190,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_10_11.npy,9,10,11,train
191,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_10_12.npy,9,10,12,train
192,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_10_13.npy,9,10,13,validation
193,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_10_14.npy,9,10,14,validation
194,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_10_15.npy,9,10,15,validation
195,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_10_16.npy,9,10,16,validation
196,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_10_17.npy,9,10,17,test
197,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_10_18.npy,9,10,18,test
198,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_10_19.npy,9,10,19,test
199,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_10_20.npy,9,10,20,test
200,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_11_01.npy,10,11,1,train
201,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_11_02.npy,10,11,2,train
202,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_11_03.npy,10,11,3,train
203,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_11_04.npy,10,11,4,train
204,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_11_05.npy,10,11,5,train
205,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_11_06.npy,10,11,6,train
206,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_11_07.npy,10,11,7,train
207,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_11_08.npy,10,11,8,train
208,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_11_09.npy,10,11,9,train
209,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_11_10.npy,10,11,10,train
210,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_11_11.npy,10,11,11,train
211,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_11_12.npy,10,11,12,train
212,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_11_13.npy,10,11,13,validation
213,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_11_14.npy,10,11,14,validation
214,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_11_15.npy,10,11,15,validation
215,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_11_16.npy,10,11,16,validation
216,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_11_17.npy,10,11,17,test
217,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_11_18.npy,10,11,18,test
218,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_11_19.npy,10,11,19,test
219,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_11_20.npy,10,11,20,test
220,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_12_01.npy,11,12,1,train
221,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_12_02.npy,11,12,2,train
222,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_12_03.npy,11,12,3,train
223,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_12_04.npy,11,12,4,train
224,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_12_05.npy,11,12,5,train
225,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_12_06.npy,11,12,6,train
226,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_12_07.npy,11,12,7,train
227,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_12_08.npy,11,12,8,train
228,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_12_09.npy,11,12,9,train
229,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_12_10.npy,11,12,10,train
230,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_12_11.npy,11,12,11,train
231,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_12_12.npy,11,12,12,train
232,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_12_13.npy,11,12,13,validation
233,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_12_14.npy,11,12,14,validation
234,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_12_15.npy,11,12,15,validation
235,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_12_16.npy,11,12,16,validation
236,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_12_17.npy,11,12,17,test
237,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_12_18.npy,11,12,18,test
238,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_12_19.npy,11,12,19,test
239,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_12_20.npy,11,12,20,test
240,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_13_01.npy,12,13,1,train
241,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_13_02.npy,12,13,2,train
242,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_13_03.npy,12,13,3,train
243,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_13_04.npy,12,13,4,train
244,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_13_05.npy,12,13,5,train
245,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_13_06.npy,12,13,6,train
246,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_13_07.npy,12,13,7,train
247,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_13_08.npy,12,13,8,train
248,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_13_09.npy,12,13,9,train
249,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_13_10.npy,12,13,10,train
250,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_13_11.npy,12,13,11,train
251,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_13_12.npy,12,13,12,train
252,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_13_13.npy,12,13,13,validation
253,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_13_14.npy,12,13,14,validation
254,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_13_15.npy,12,13,15,validation
255,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_13_16.npy,12,13,16,validation
256,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_13_17.npy,12,13,17,test
257,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_13_18.npy,12,13,18,test
258,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_13_19.npy,12,13,19,test
259,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_13_20.npy,12,13,20,test
260,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_14_01.npy,13,14,1,train
261,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_14_02.npy,13,14,2,train
262,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_14_03.npy,13,14,3,train
263,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_14_04.npy,13,14,4,train
264,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_14_05.npy,13,14,5,train
265,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_14_06.npy,13,14,6,train
266,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_14_07.npy,13,14,7,train
267,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_14_08.npy,13,14,8,train
268,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_14_09.npy,13,14,9,train
269,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_14_10.npy,13,14,10,train
270,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_14_11.npy,13,14,11,train
271,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_14_12.npy,13,14,12,train
272,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_14_13.npy,13,14,13,validation
273,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_14_14.npy,13,14,14,validation
274,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_14_15.npy,13,14,15,validation
275,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_14_16.npy,13,14,16,validation
276,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_14_17.npy,13,14,17,test
277,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_14_18.npy,13,14,18,test
278,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_14_19.npy,13,14,19,test
279,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_14_20.npy,13,14,20,test
280,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_15_01.npy,14,15,1,train
281,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_15_02.npy,14,15,2,train
282,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_15_03.npy,14,15,3,train
